,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_borough,dropoff_borough,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
469382,B1E9187878D73A574ADE63C23946C222,D325B18850F1397D61EF1201EBDABF88,CMT,1,N,2013-01-01 00:22:12,2013-01-01 00:29:16,2,424,1.5,-73.999825,40.717979,-73.987823,40.738174,brooklyn,manhattan,CRD,7.5,0.5,0.5,1.7,0.0,10.2
469619,6D5B098624A94DB44F28A47E4C336468,841C53E17619C18C99D5243B74B48D94,CMT,1,N,2013-01-01 02:19:45,2013-01-01 02:33:29,1,823,2.8,-73.987572,40.748859,-73.990814,40.715324,manhattan,brooklyn,CRD,12.0,0.5,0.5,2.0,0.0,15.0
470057,B0B78CD05C8A1737E24F87459FC04B33,B104BA3D279D230A03FAE58BFA3B983E,CMT,1,N,2013-01-01 00:46:26,2013-01-01 01:02:12,1,945,2.0,-73.978516,40.753925,-73.98893,40.731403,manhattan,manhattan,CRD,11.5,0.5,0.5,2.5,0.0,15.0
470915,8D7B834B36839364EA5BECB07812583F,16681153B22FA54B76717989FA942BAD,CMT,1,N,2013-01-01 02:26:53,2013-01-01 02:39:11,1,738,3.9,-73.9739,40.75927,-73.918015,40.761745,manhattan,manhattan,CRD,13.5,0.5,0.5,2.9,0.0,17.4
470971,1FA28B5CA815FDB5221D55DF84FC85DC,23AC97494E3C2A51984156793FF6BD00,CMT,1,N,2013-01-01 15:58:20,2013-01-01 16:06:26,2,485,3.5,-73.948204,40.774849,-73.981308,40.739761,manhattan,manhattan,CRD,12.0,0.0,0.5,1.2,0.0,13.7
471374,33BDB46F2DAA926711B79B1171BAE469,F3C5B0DEBE147F9CB39A440D6EAB478C,CMT,1,N,2013-01-01 15:40:58,2013-01-01 15:43:16,2,137,0.6,-73.978775,40.736507,-73.975906,40.744011,manhattan,manhattan,CRD,4.0,0.0,0.5,1.0,0.0,5.5
471904,6D055E9392296B6B891E39DED7754511,E28C60F02096C83254D16FF62ACD9EC5,CMT,1,N,2013-01-01 00:55:21,2013-01-01 01:03:52,1,510,0.5,-73.968643,40.759029,-73.978729,40.763523,manhattan,manhattan,CRD,6.5,0.5,0.5,1.5,0.0,9.0
472106,93802B2D5A792266C38378CB7AD9FB11,663B547CD8A22483780A51CCF2AA2A4F,CMT,1,N,2013-01-01 10:00:00,2013-01-01 10:07:19,1,439,1.3,-73.978256,40.73737,-73.987495,40.74966,manhattan,manhattan,CRD,7.5,0.0,0.5,1.0,0.0,9.0
472348,7F140FE76FE69C92E8B6F4296CFD684E,00CA5191D0F66DFD9C71134D758989E8,CMT,1,N,2013-01-01 02:40:38,2013-01-01 02:53:27,1,769,2.0,-73.9813,40.741386,-74.003799,40.737732,manhattan,manhattan,CRD,10.5,0.5,0.5,1.0,0.0,12.5
472990,81D6C9A1DDDACB90D2D5A67C745E5106,D4515683E6491331135D8B5A044683C5,CMT,1,Y,2013-01-01 00:32:54,2013-01-01 00:41:26,4,511,1.6,-73.955978,40.693466,-73.973343,40.686806,brooklyn,brooklyn,CRD,8.5,0.5,0.5,1.9,0.0,11.4
